Name,Accelerated?,Grade 7,7 Norm,7Level,Grade 6,6 Norm,6Level,Grade 5,5 Norm,5Level,Elementary School
Student1,Y,347,0.70163646,3,384,1.875629877,4,362,1.055848558,4,Colonial
Student2,Y,348,0.739953223,4,351,0.633233384,4,346,0.449667268,4,Siwanoy
Student3,Y,327,-0.064698796,3,343,0.332046355,4,342,0.298121946,3,Siwanoy
Student4,Y,329,0.011934729,3,320,-0.533866352,3,295,-1.482535594,2,Siwanoy
Student5,Y,327,-0.064698796,3,343,0.332046355,4,342,0.298121946,3,Siwanoy
Student6,Y,360,1.199754377,4,354,0.74617852,4,358,0.904303236,4,Prospect
Student7,Y,329,0.011934729,3,351,0.633233384,4,342,0.298121946,3,Prospect
Student8,Y,348,0.739953223,4,343,0.332046355,4,342,0.298121946,3,Hutchinson
Student9,Y,327,-0.064698796,3,337,0.106156084,3,333,-0.04285503,3,Colonial
Student10,Y,350,0.816586749,4,354,0.74617852,4,368,1.283166542,4,Hutchinson
Student11,Y,335,0.241835306,3,343,0.332046355,4,337,0.108690293,3,Siwanoy
Student12,Y,363,1.314704665,4,368,1.27325582,4,348,0.52543993,4,Siwanoy
Student13,Y,352,0.893220274,4,365,1.160310684,4,391,2.154552147,4,Prospect
Student14,Y,320,-0.332916136,2,351,0.633233384,4,337,0.108690293,3,Colonial
Student15,Y,331,0.088568255,3,320,-0.533866352,3,333,-0.04285503,3,Colonial
Student16,Y,334,0.203518544,3,340,0.21910122,4,348,0.52543993,4,Prospect
Student17,Y,371,1.621238768,4,398,2.402707178,4,348,0.52543993,4,Siwanoy
Student18,Y,327,-0.064698796,3,329,-0.195030945,3,295,-1.482535594,2,Siwanoy
Student19,Y,371,1.621238768,4,390,2.101520149,4,391,2.154552147,4,Siwanoy
Student20,Y,330,0.050251492,3,335,0.030859327,3,333,-0.04285503,3,Hutchinson
Student21,Y,338,0.356785595,3,343,0.332046355,4,348,0.52543993,4,Prospect
Student22,Y,345,0.625002935,3,345,0.407343113,4,351,0.639098922,4,Prospect
Student23,Y,393,2.46420755,4,351,0.633233384,4,358,0.904303236,4,Siwanoy
Student24,Y,357,1.084804088,4,356,0.821475277,4,351,0.639098922,4,Colonial
Student25,Y,367,1.467971717,4,351,0.633233384,4,381,1.77568884,4,Siwanoy
Student26,Y,338,0.356785595,3,362,1.047365549,4,351,0.639098922,4,Siwanoy
Student27,Y,354,0.9698538,4,371,1.386200956,4,368,1.283166542,4,Prospect
Student28,Y,357,1.084804088,4,343,0.332046355,4,354,0.752757913,4,Prospect
Student29,Y,322,-0.25628261,3,349,0.557936627,4,346,0.449667268,4,Colonial
Student30,Y,340,0.43341912,3,359,0.934420413,4,362,1.055848558,4,Hutchinson
Student31,Y,325,-0.141332322,3,337,0.106156084,3,330,-0.156514022,3,Prospect
Student32,Y,333,0.165201781,3,327,-0.270327702,3,346,0.449667268,4,Hutchinson
Student33,Y,337,0.318468832,3,340,0.21910122,4,335,0.032917632,3,Prospect
Student34,Y,350,0.816586749,4,362,1.047365549,4,354,0.752757913,4,Hutchinson
Student35,Y,360,1.199754377,3,365,1.160310684,4,368,1.283166542,4,Hutchinson
Student36,N,291,-1.444102258,1,304,-1.136240409,2,312,-0.838467973,2,Hutchinson
Student37,N,297,-1.214201681,2,286,-1.813911224,2,304,-1.141558618,2,Hutchinson
Student38,N,291,-1.444102258,2,300,-1.286833924,2,302,-1.217331279,2,Hutchinson
Student39,N,335,0.241835306,3,322,-0.458569595,3,319,-0.573263658,3,Hutchinson
Student40,N,259,-2.670238668,1,324,-0.383272838,3,286,-1.823512569,1,Hutchinson
Student41,N,326,-0.103015559,3,340,0.21910122,4,342,0.298121946,3,Hutchinson
Student42,N,350,0.816586749,4,327,-0.270327702,3,319,-0.573263658,3,Colonial
Student43,N,329,0.011934729,3,340,0.21910122,4,348,0.52543993,4,Out of Pelham
Student44,N,321,-0.294599373,2,295,-1.475075817,2,310,-0.914240634,2,Hutchinson
Student45,N,315,-0.52449995,2,327,-0.270327702,3,324,-0.383832005,3,Siwanoy
Student46,N,297,-1.214201681,2,297,-1.39977906,2,286,-1.823512569,1,Siwanoy
Student47,N,292,-1.405785495,1,295,-1.475075817,2,308,-0.990013295,2,Hutchinson
Student48,N,314,-0.562816713,2,320,-0.533866352,3,326,-0.308059344,3,Hutchinson
Student49,N,311,-0.677767001,2,314,-0.759756624,2,312,-0.838467973,2,Prospect
Student50,N,309,-0.754400527,2,320,-0.533866352,3,312,-0.838467973,2,Prospect
Student51,N,323,-0.217965848,3,320,-0.533866352,3,306,-1.065785957,2,Prospect
Student52,N,327,-0.064698796,3,333,-0.04443743,3,337,0.108690293,3,Prospect
Student53,N,259,-2.670238668,1,295,-1.475075817,2,283,-1.937171561,1,Hutchinson
Student54,N,330,0.050251492,3,345,0.407343113,4,346,0.449667268,4,Prospect
Student55,N,295,-1.290835207,2,289,-1.700966088,2,330,-0.156514022,3,Hutchinson
Student56,N,305,-0.907667578,2,302,-1.211537167,2,306,-1.065785957,2,Colonial
Student57,N,329,0.011934729,3,337,0.106156084,3,351,0.639098922,4,Hutchinson
Student58,N,295,-1.290835207,2,302,-1.211537167,2,335,0.032917632,3,Hutchinson
Student59,N,288,-1.559052546,1,292,-1.588020953,2,268,-2.50546652,1,Hutchinson
Student60,N,317,-0.447866424,2,279,-2.077449874,1,319,-0.573263658,3,Hutchinson
Student61,N,303,-0.984301104,2,300,-1.286833924,2,297,-1.406762932,2,Colonial
